GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
1600000US2636560,2636560,"Harbor Springs city, Michigan",0.5295,0.1068
1600000US2636585,2636585,"Hardwood Acres CDP, Michigan",0.2567,0.0831
1600000US2636590,2636590,"Haring CDP, Michigan",0.1975,0.0783
1600000US2636700,2636700,"Harper Woods city, Michigan",0.3831,0.0204
1600000US2636720,2636720,"Harrietta village, Michigan",0.4356,0.1090
1600000US2636800,2636800,"Harrison city, Michigan",0.4633,0.0325
1600000US2636860,2636860,"Harrisville city, Michigan",0.4852,0.0545
1600000US2636920,2636920,"Hart city, Michigan",0.4225,0.0398
1600000US2636960,2636960,"Hartford city, Michigan",0.4050,0.0385
1600000US2637080,2637080,"Harvey CDP, Michigan",0.4189,0.0711
1600000US2637100,2637100,"Haslett CDP, Michigan",0.4512,0.0189
1600000US2637120,2637120,"Hastings city, Michigan",0.4418,0.0413
1600000US2637420,2637420,"Hazel Park city, Michigan",0.4483,0.0334
1600000US2637600,2637600,"Hemlock CDP, Michigan",0.3423,0.0594
1600000US2637620,2637620,"Henderson CDP, Michigan",0.4590,0.1220
1600000US2637820,2637820,"Hersey village, Michigan",0.3849,0.0477
1600000US2637860,2637860,"Hesperia village, Michigan",0.4143,0.0360
1600000US2637960,2637960,"Hickory Corners CDP, Michigan",0.3445,0.1981
1600000US2638180,2638180,"Highland Park city, Michigan",0.5806,0.0884
1600000US2638380,2638380,"Hillman village, Michigan",0.4422,0.0344
1600000US2638460,2638460,"Hillsdale city, Michigan",0.4870,0.0460
1600000US2638640,2638640,"Holland city, Michigan",0.4374,0.0356
1600000US2638700,2638700,"Holly village, Michigan",0.3493,0.0424
1600000US2638780,2638780,"Holt CDP, Michigan",0.3928,0.0170
1600000US2638920,2638920,"Homer village, Michigan",0.4402,0.0373
1600000US2639080,2639080,"Honor village, Michigan",0.3586,0.0647
1600000US2639180,2639180,"Hopkins village, Michigan",0.3766,0.0590
1600000US2639340,2639340,"Horton Bay CDP, Michigan",0.4063,0.0476
1600000US2639360,2639360,"Houghton city, Michigan",0.5081,0.0360
1600000US2639400,2639400,"Houghton Lake CDP, Michigan",0.5409,0.1329
1600000US2639500,2639500,"Howard City village, Michigan",0.3762,0.0518
1600000US2639540,2639540,"Howell city, Michigan",0.4196,0.0324
1600000US2639634,2639634,"Hubbard Lake CDP, Michigan",0.4470,0.1027
1600000US2639660,2639660,"Hubbardston village, Michigan",0.4273,0.0730
1600000US2639680,2639680,"Hubbell CDP, Michigan",0.3665,0.0505
1600000US2639720,2639720,"Hudson city, Michigan",0.3749,0.0288
1600000US2639800,2639800,"Hudsonville city, Michigan",0.3870,0.0301
1600000US2640000,2640000,"Huntington Woods city, Michigan",0.4100,0.0292
1600000US2640320,2640320,"Imlay City city, Michigan",0.3677,0.0388
1600000US2640480,2640480,"Indian River CDP, Michigan",0.4231,0.0527
1600000US2640680,2640680,"Inkster city, Michigan",0.4559,0.0203
1600000US2640800,2640800,"Interlochen CDP, Michigan",0.4674,0.0867
1600000US2640860,2640860,"Ionia city, Michigan",0.4288,0.0525
1600000US2640960,2640960,"Iron Mountain city, Michigan",0.4520,0.0392
1600000US2640980,2640980,"Iron River city, Michigan",0.4194,0.0386
1600000US2641040,2641040,"Ironton CDP, Michigan",0.3463,0.0746
1600000US2641060,2641060,"Ironwood city, Michigan",0.4608,0.0398
1600000US2641220,2641220,"Ishpeming city, Michigan",0.4264,0.0258
1600000US2641340,2641340,"Ithaca city, Michigan",0.4277,0.0366
1600000US2641420,2641420,"Jackson city, Michigan",0.4774,0.0148
1600000US2641540,2641540,"Jasper CDP, Michigan",0.4044,0.0608
1600000US2641680,2641680,"Jenison CDP, Michigan",0.3576,0.0271
1600000US2641720,2641720,"Jennings CDP, Michigan",0.4042,0.0889
1600000US2641920,2641920,"Jonesville city, Michigan",0.3729,0.0283
1600000US2642160,2642160,"Kalamazoo city, Michigan",0.5039,0.0148
1600000US2642240,2642240,"Kaleva village, Michigan",0.3399,0.0708
1600000US2642260,2642260,"Kalkaska village, Michigan",0.4258,0.0412
1600000US2642460,2642460,"Keego Harbor city, Michigan",0.4463,0.0424
